Plot Title:  20976220,,,,,,,,
#,"Date Time, GMT+05:45","Abs Pres, kPa (LGR S/N: 20976220, SEN S/N: 20976220)","Temp, °C (LGR S/N: 20976220, SEN S/N: 20976220)","Water Level, meters (LGR S/N: 20976220)",Coupler Detached (LGR S/N: 20976220),Coupler Attached (LGR S/N: 20976220),Host Connected (LGR S/N: 20976220),End Of File (LGR S/N: 20976220)
1,2/5/2021 17:00,142.894,24.158,-2.23,Logged,,,
2,2/6/2021 5:00,143.202,24.158,-2.199,,,,
3,2/6/2021 17:00,142.689,24.158,-2.251,,,,
4,2/7/2021 5:00,143.065,24.158,-2.213,,,,
5,2/7/2021 17:00,142.586,24.158,-2.261,,,,
6,2/8/2021 5:00,143.065,24.158,-2.213,,,,
7,2/8/2021 17:00,142.449,24.158,-2.275,,,,
8,2/9/2021 5:00,142.757,24.158,-2.244,,,,
9,2/9/2021 17:00,140.43,24.158,-2.481,,,,
10,2/10/2021 5:00,142.483,24.158,-2.272,,,,
11,2/10/2021 17:00,129.785,24.062,-3.567,,,,
12,2/11/2021 5:00,142.175,24.158,-2.303,,,,
13,2/11/2021 17:00,141.594,24.158,-2.363,,,,
14,2/12/2021 5:00,142.346,24.158,-2.286,,,,
15,2/12/2021 12:39,,,,,Logged,,
16,2/12/2021 12:39,,,,,,Logged,Logged
