#,"Date Time, GMT+05:45","Abs Pres, kPa (LGR S/N: 20976221, SEN S/N: 20976221)","Temp, °C (LGR S/N: 20976221, SEN S/N: 20976221)","Water Level, meters (LGR S/N: 20976221)","Water Level, meters (LGR S/N: 20976221)",Coupler Detached (LGR S/N: 20976221),Coupler Attached (LGR S/N: 20976221),Host Connected (LGR S/N: 20976221),End Of File (LGR S/N: 20976221)
1,2/7/2021 17:00,140.019,25.902,-5.08,-5.08,Logged,,,
2,2/8/2021 5:00,145.203,25.902,-4.551,-4.551,,,,
3,2/8/2021 17:00,139.254,25.902,-5.158,-5.158,,,,
4,2/9/2021 5:00,144.506,25.902,-4.622,-4.622,,,,
5,2/9/2021 17:00,138.822,25.902,-5.202,-5.202,,,,
6,2/10/2021 5:00,143.874,25.902,-4.687,-4.687,,,,
7,2/10/2021 17:00,135.564,25.902,-5.534,-5.534,,,,
8,2/11/2021 5:00,144.007,25.902,-4.673,-4.673,,,,
9,2/11/2021 17:00,140.418,25.902,-5.039,-5.039,,,,
10,2/12/2021 5:00,144.771,25.902,-4.595,-4.595,,,,
11,2/12/2021 17:00,142.146,25.902,-4.863,-4.863,,,,
12,2/13/2021 5:00,144.805,25.902,-4.592,-4.592,,,,
13,2/13/2021 10:03,,,,,,Logged,,
14,2/13/2021 10:04,,,,,,,Logged,Logged
